Coach,Tm,sea_w/franc_count,sea_overall_count,rs_curr_sea_G,rs_curr_sea_W,rs_curr_sea_L,rs_w/franc_G,rs_w/franc_W,rs_w/franc_L,rs_career_G,rs_career_W,rs_career_L,rs_career_W%,po_curr_sea_G,po_curr_sea_W,po_curr_sea_L,po_w/franc_G,po_w/franc_W,po_w/franc_L,po_career_G,po_career_W,po_career_L,season,team_id,coy_share,won_coy,sum_coach_playoff_games,sum_coy_shares
Nick Nurse,PHI,2,7,47,19,28,129,66,63,519,293,226,0.565,0.0,0.0,0.0,6.0,2.0,4.0,47.0,27.0,20.0,2025,71,0.0,0.0,47.0,0.952
Jason Kidd,DAL,4,9,49,26,23,295,166,129,668,349,319,0.522,0.0,0.0,0.0,40.0,22.0,18.0,64.0,31.0,33.0,2025,7,0.0,0.0,64.0,0.13599999999999998
Tyronn Lue,LAC,5,9,48,28,20,366,212,154,577,340,237,0.589,0.0,0.0,0.0,30.0,13.0,17.0,91.0,54.0,37.0,2025,13,0.0,0.0,91.0,0.019999999999999997
Quin Snyder,ATL,3,11,48,22,26,151,68,83,787,440,347,0.559,0.0,0.0,0.0,6.0,2.0,4.0,57.0,23.0,34.0,2025,1,0.0,0.0,57.0,0.85
Rick Carlisle,IND,8,23,46,26,20,620,314,306,1817,969,848,0.533,0.0,0.0,0.0,52.0,26.0,26.0,150.0,71.0,79.0,2025,12,0.0,0.0,150.0,1.253
Mike Brown,SAC,3,11,31,13,18,195,107,88,758,454,304,0.599,0.0,0.0,0.0,7.0,3.0,4.0,90.0,50.0,40.0,2025,26,0.0,0.0,90.0,1.6059999999999999
Steve Kerr,GSW,11,11,48,24,24,841,543,298,841,543,298,0.646,0.0,0.0,0.0,140.0,99.0,41.0,140.0,99.0,41.0,2025,10,0.0,0.0,140.0,1.339
Darko Rajakovic,TOR,2,2,48,15,33,130,40,90,130,40,90,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,28,0.0,0.0,0.0,0.0
Gregg Popovich,SAS,29,29,45,21,24,2254,1409,845,2254,1409,845,0.625,0.0,0.0,0.0,284.0,170.0,114.0,284.0,170.0,114.0,2025,27,0.0,0.0,284.0,3.043
Tom Thibodeau,NYK,5,13,48,32,16,366,207,159,964,559,405,0.58,0.0,0.0,0.0,29.0,14.0,15.0,85.0,38.0,47.0,2025,20,0.0,0.0,85.0,2.517
JJ Redick,LAL,1,1,46,27,19,46,27,19,46,27,19,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,14,0.0,0.0,0.0,0.0
J.B. Bickerstaff,DET,1,9,48,24,24,48,24,24,593,279,314,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,15.0,2025,9,0.0,0.0,22.0,0.16199999999999998
Doc Rivers,MIL,2,26,46,26,20,82,43,39,1942,1140,802,0.587,0.0,0.0,0.0,6.0,2.0,4.0,221.0,113.0,108.0,2025,17,0.0,0.0,221.0,1.455
Jordi Fernandez,BRK,1,1,48,15,33,48,15,33,48,15,33,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3,0.0,0.0,0.0,0.0
Billy Donovan,CHI,5,10,49,21,28,367,177,190,767,420,347,0.548,0.0,0.0,0.0,5.0,1.0,4.0,46.0,19.0,27.0,2025,5,0.0,0.0,46.0,0.27
Michael Malone,DEN,10,12,48,29,19,767,453,314,873,492,381,0.564,0.0,0.0,0.0,80.0,44.0,36.0,80.0,44.0,36.0,2025,8,0.0,0.0,80.0,0.39
Mark Daigneault,OKC,5,5,46,37,9,364,180,184,364,180,184,0.495,0.0,0.0,0.0,10.0,6.0,4.0,10.0,6.0,4.0,2025,21,0.0,0.0,10.0,1.284
Kenny Atkinson,CLE,1,5,48,39,9,48,39,9,356,157,199,0.441,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2025,6,0.0,0.0,5.0,0.072
Mike Budenholzer,PHO,1,11,47,25,22,47,25,22,848,509,339,0.6,0.0,0.0,0.0,0.0,0.0,0.0,104.0,56.0,48.0,2025,24,0.0,0.0,104.0,2.003
Chauncey Billups,POR,4,4,48,19,29,294,100,194,294,100,194,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,66,0.0,0.0,0.0,0.0
Willie Green,NOP,4,4,49,12,37,295,139,156,295,139,156,0.471,0.0,0.0,0.0,10.0,2.0,8.0,10.0,2.0,8.0,2025,19,0.0,0.0,10.0,0.002
Brian Keefe,WAS,2,2,47,6,41,86,14,72,86,14,72,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,30,0.0,0.0,0.0,0.0
Charles Lee,CHO,1,1,45,12,33,45,12,33,45,12,33,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4,0.0,0.0,0.0,0.0
Will Hardy,UTA,3,3,46,10,36,210,78,132,210,78,132,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,29,0.0,0.0,0.0,0.014
Erik Spoelstra,MIA,17,17,46,23,23,1323,773,550,1323,773,550,0.584,0.0,0.0,0.0,189.0,110.0,79.0,189.0,110.0,79.0,2025,16,0.0,0.0,189.0,0.991
Joe Mazzulla,BOS,3,3,49,34,15,213,155,58,213,155,58,0.728,0.0,0.0,0.0,39.0,27.0,12.0,39.0,27.0,12.0,2025,2,0.0,0.0,20.0,0.154
